lat_appx_lots_of_err,long_appx_lots_of_err,EXT,EST,AGR,CSN,OPN
49.8833,-97.1667,-1.2,-0.1,0.0,-0.3,1.4
43.6425,-79.3872,1.3,0.2,1.7,2.0,1.3
45.4167,-75.7,0.0,3.4,2.0,0.1,0.8
43.8449,-79.0996,1.6,1.5,1.7,1.4,2.1
45.5298,-73.6153,0.7,1.0,1.4,1.4,1.8
42.3077,-83.0724,0.3,2.4,1.4,2.3,2.2
43.6425,-79.3872,-0.2,1.0,0.7,1.8,1.2
44.3891,-79.6901,-0.6,3.5,1.6,1.2,0.5
45.3333,-75.9,-0.4,2.8,0.5,0.5,1.3
51.1147,-114.1796,0.4,2.2,2.3,1.7,2.1
49.2701,-123.1038,1.3,2.3,2.3,2.5,2.3
43.6858,-79.7602,-0.7,1.1,1.2,0.9,0.6
44.6464,-63.5929,-2.0,2.7,0.8,1.3,0.4
43.9091,-78.8088,0.5,2.8,1.6,0.6,2.1
49.35,-124.45,0.9,1.5,1.0,1.9,1.6
45.3125,-75.8838,-0.2,2.5,0.9,1.5,1.4
43.6667,-79.4167,-0.6,2.7,1.5,1.9,2.2
51.0566,-114.1815,-1.5,2.6,2.1,1.8,0.9
43.6425,-79.3872,-0.5,0.6,0.9,1.7,1.8
43.5325,-80.2531,-1.1,1.2,0.8,2.0,1.7
45.5148,-73.5739,-0.5,2.4,1.1,1.8,1.8
47.8184,-69.1505,0.8,1.0,1.2,0.9,1.6
49.0312,-122.3012,-0.1,2.7,2.4,-0.3,1.5
43.6425,-79.3872,-0.5,3.5,1.4,0.1,1.0
42.1106,-83.1115,-0.8,2.1,1.0,1.1,1.3
49.136,-123.9483,-0.9,3.2,1.3,0.9,2.1
43.8087,-79.1307,1.8,2.3,-0.3,-0.2,1.5
49.2836,-123.1041,-0.2,2.6,2.0,0.1,1.4
43.707,-80.3777,-1.7,2.3,2.2,1.2,1.5
43.6425,-79.3872,-0.6,1.6,-0.4,0.5,2.3
44.231,-76.4791,0.1,1.1,1.6,2.5,1.3
43.6619,-79.3952,-0.9,0.9,0.6,0.1,1.3
43.6088,-79.5574,0.0,1.7,1.4,0.9,1.3
51.7667,-104.1833,-1.4,2.3,0.6,0.6,1.0
43.5665,-79.6035,-1.2,2.1,0.6,1.5,0.3
43.6403,-79.4374,-1.2,2.7,1.9,1.9,2.0
52.1068,-106.6552,1.4,2.8,1.1,-0.1,2.0
43.4529,-80.5281,0.1,1.2,1.7,1.2,1.2
49.25,-123.1333,-0.8,1.7,1.0,1.0,1.9
48.4,-89.2333,-0.1,1.7,0.5,1.5,1.0
43.6425,-79.3872,-1.2,1.9,0.7,0.9,0.7
43.4244,-80.3364,1.5,1.2,0.7,1.8,1.5
43.6425,-79.3872,-0.6,2.4,0.0,0.6,0.9
43.4529,-80.5281,-1.1,3.4,1.0,0.9,2.0
50.6667,-120.3333,-1.2,1.4,1.1,1.4,1.6
46.4024,-72.5846,0.5,2.6,2.0,1.0,2.1
52.2022,-106.6765,0.6,0.3,-1.0,1.4,1.8
45.4769,-75.4835,-1.9,1.8,-0.5,1.3,2.1
46.3688,-72.58,1.5,1.4,1.8,1.2,1.6
50.4423,-104.6116,0.9,0.0,1.7,2.6,2.5
48.449,-123.3842,-0.2,1.3,1.1,1.6,2.0
51.0833,-114.0833,0.0,0.2,-0.5,0.8,0.8
49.0798,-123.0882,1.5,1.5,1.5,1.3,1.9
49.2738,-123.161,0.8,1.0,1.8,0.9,1.1
43.6425,-79.3872,-0.7,1.6,0.4,0.1,1.6
45.3523,-75.6512,0.0,2.4,2.4,0.8,1.5
47.8184,-69.1505,-1.0,1.2,1.0,0.1,2.0
50.6764,-120.3399,0.0,1.3,1.4,1.6,1.4
49.2536,-122.9085,-0.4,1.4,0.7,1.3,1.2
49.2658,-123.1151,-0.2,3.0,1.9,0.8,1.6
43.2298,-79.7722,0.5,2.0,1.3,1.3,1.6
49.4833,-117.2833,-1.5,2.7,2.2,0.6,1.4
43.6425,-79.3872,0.3,2.0,2.3,0.7,2.2
43.0093,-81.21,1.0,2.0,1.8,0.0,2.1
49.2869,-122.958,-1.7,-0.2,1.7,1.6,1.7
53.9103,-122.7835,-1.0,1.4,0.3,1.2,1.7
53.5157,-113.6339,-0.1,1.1,1.3,0.6,1.2
43.8566,-79.5111,-0.5,2.3,2.0,0.0,1.7
43.6097,-79.704,-0.5,1.8,1.6,0.6,1.5
44.2322,-76.4799,-0.4,0.6,1.9,2.3,2.2
43.6667,-79.4167,-0.6,1.0,2.0,1.8,1.8
49.1307,-122.5369,0.7,1.3,1.6,1.7,0.5
43.1719,-79.227,0.3,3.0,1.8,0.3,1.5
44.0414,-79.4534,-0.4,1.4,1.3,1.6,1.6
45.5,-73.5833,-0.3,0.2,1.9,2.0,2.0
44.7167,-79.8167,0.2,1.4,2.1,2.1,1.3
43.4422,-80.4968,0.1,0.5,1.7,1.6,1.2
45.3125,-75.8838,-0.9,2.4,1.4,0.1,1.9
49.7118,-112.8196,0.6,1.3,1.9,2.0,1.7
44.5,-80.2167,-0.2,2.2,2.4,2.4,0.7
45.3176,-75.895,-0.1,1.5,1.5,0.5,1.4
43.4236,-80.48,0.2,1.6,1.3,1.1,1.4
43.6425,-79.3872,1.0,2.1,1.7,1.0,1.1
43.6425,-79.3872,-0.4,0.9,0.7,0.8,0.8
43.4487,-80.4849,-0.6,2.2,2.3,1.6,2.1
43.75,-79.2,-0.6,2.5,0.6,1.3,1.3
53.5182,-113.4769,0.1,3.5,2.3,0.4,1.7
43.4453,-79.7095,-0.5,0.5,1.1,1.9,0.8
43.2298,-79.7722,0.0,1.5,1.2,0.1,1.5
43.4487,-80.4849,0.3,2.4,1.7,0.9,1.1
42.3016,-83.0307,0.0,1.5,0.5,1.2,0.4
43.4487,-80.4849,0.7,1.3,2.2,1.3,2.0
43.4487,-80.4849,-0.8,1.4,2.1,1.5,1.4
