,EXT,EST,AGR,CSN,OPN,Clusters,lat,long
138,1.4,-0.2,1.6,0.1,1.8,1,43.6425,-79.3872
139,1.7,2.0,2.6,1.1,2.1,4,45.6595,-73.5729
140,-0.8,0.9,2.2,1.4,0.6,0,49.2007,-122.6641
141,0.5,2.1,1.3,1.2,1.2,4,53.5462,-113.2562
142,0.8,0.8,1.1,0.9,1.4,1,45.3155,-75.837
143,-1.1,1.9,1.3,0.8,1.2,2,43.9667,-79.25
144,-0.3,2.9,0.2,-0.4,2.2,2,44.1545,-78.4603
145,0.8,2.1,0.9,1.0,1.4,4,43.447,-80.4725
146,-0.6,0.9,2.0,0.0,1.9,1,45.6167,-61.9667
147,0.8,1.3,1.6,2.1,2.3,5,42.9793,-81.2556
148,0.6,1.4,1.0,1.2,1.5,1,43.0093,-81.21
149,-0.1,1.7,1.1,1.5,1.1,0,42.9943,-81.2623
150,1.2,2.2,-0.2,0.0,1.6,1,43.7895,-79.3735
151,0.4,2.6,0.8,-0.2,0.4,2,43.7895,-79.3735
152,-1.2,2.7,2.0,1.1,1.8,0,55.1726,-118.7997
153,-1.8,2.3,0.3,0.4,1.3,2,49.7833,-112.15
154,0.2,0.0,1.4,1.5,1.9,5,45.469,-73.8862
155,2.0,0.2,1.3,2.6,2.5,5,42.9778,-81.1941
156,1.5,1.9,0.6,0.5,0.5,1,51.0833,-114.0833
157,0.2,0.3,0.9,0.7,1.5,1,49.8754,-119.3958
158,1.1,0.5,2.2,2.0,1.7,5,52.1193,-106.6594
159,-1.7,2.3,1.1,-0.5,2.0,2,45.5066,-73.5623
160,0.3,2.2,1.5,2.4,1.9,0,43.6425,-79.3872
161,0.8,0.0,-0.2,1.7,1.9,5,55.1726,-118.7997
162,-1.3,1.9,1.0,0.4,0.8,2,43.2604,-79.8961
163,-0.4,2.2,1.4,-0.4,1.3,2,43.24100000000001,-79.8452
164,-0.5,1.4,1.9,0.1,1.8,1,43.1964,-79.5624
165,-1.0,2.9,0.8,0.6,1.6,2,50.4423,-104.6116
